,sample,density,wood,keepit,year,label
173,152.0,0.033986,0,0,2021.0,VF2
174,152.0,0.032744,0,0,2021.0,VF2
175,152.0,0.030119,0,0,2021.0,VF2
176,152.0,0.026678,0,0,2021.0,VF2
177,152.0,0.024762,0,0,2021.0,VF2
178,152.0,0.023237,0,0,2021.0,VF2
179,152.0,0.02109,0,0,2021.0,VF2
180,152.0,0.017649,0,0,2021.0,VF2
181,152.0,0.014581,0,0,2021.0,VF2
182,152.0,0.014722,0,0,2021.0,VF2
183,152.0,0.015255,0,0,2021.0,VF2
184,152.0,0.016549,0,0,2021.0,VF2
185,152.0,0.019742,0,0,2021.0,VF2
186,152.0,0.022616,0,0,2021.0,VF2
187,152.0,0.022616,0,0,2021.0,VF2
188,152.0,0.025436,0,0,2021.0,VF2
189,152.0,0.023858,0,0,2021.0,VF2
190,152.0,0.024106,0,0,2021.0,VF2
191,152.0,0.026341,0,0,2021.0,VF2
192,152.0,0.026341,0,0,2021.0,VF2
193,152.0,0.029409,0,0,2021.0,VF2
194,152.0,0.027104,0,0,2021.0,VF2
195,152.0,0.025046,0,0,2021.0,VF2
196,152.0,0.024904,0,0,2021.0,VF2
197,152.0,0.024904,0,0,2021.0,VF2
198,81.0,0.286241,0,0,2016.0,VF3
199,81.0,0.289661,0,0,2016.0,VF3
200,81.0,0.291764,0,0,2016.0,VF3
201,81.0,0.286942,0,0,2016.0,VF3
202,81.0,0.275531,0,0,2016.0,VF3
203,81.0,0.277325,0,0,2016.0,VF3
204,81.0,0.283297,0,0,2016.0,VF3
205,81.0,0.284979,0,0,2016.0,VF3
206,81.0,0.284671,1,0,2016.0,VF3
207,81.0,0.299614,1,0,2016.0,VF3
208,81.0,0.315651,1,0,2016.0,VF3
209,81.0,0.312764,1,0,2016.0,VF3
210,81.0,0.304381,1,0,2016.0,VF3
211,81.0,0.301353,1,0,2016.0,VF3
212,81.0,0.307941,1,0,2016.0,VF3
213,81.0,0.313464,1,0,2016.0,VF3
214,81.0,0.313464,1,0,2016.0,VF3
215,81.0,0.313072,1,0,2016.0,VF3
216,81.0,0.313745,1,0,2016.0,VF3
217,81.0,0.318287,1,0,2016.0,VF3
218,81.0,0.318595,1,0,2016.0,VF3
219,81.0,0.319661,1,0,2016.0,VF3
220,81.0,0.319717,1,0,2016.0,VF3
221,81.0,0.313605,1,0,2016.0,VF3
222,81.0,0.313212,1,0,2016.0,VF3
223,81.0,0.31481,1,0,2016.0,VF3
224,81.0,0.31481,1,0,2016.0,VF3
225,81.0,0.31467,1,0,2016.0,VF3
226,81.0,0.31338,1,0,2016.0,VF3
227,81.0,0.310212,1,0,2016.0,VF3
228,81.0,0.303932,1,0,2016.0,VF3
229,81.0,0.303091,1,0,2016.0,VF3
230,81.0,0.304016,1,0,2016.0,VF3
231,81.0,0.307324,1,0,2016.0,VF3
232,81.0,0.315119,1,0,2016.0,VF3
233,81.0,0.318511,1,0,2016.0,VF3
234,81.0,0.321763,1,0,2016.0,VF3
235,81.0,0.322212,1,0,2016.0,VF3
236,81.0,0.318371,1,0,2016.0,VF3
237,81.0,0.312623,1,0,2016.0,VF3
238,81.0,0.309147,1,0,2016.0,VF3
239,81.0,0.30553,1,0,2016.0,VF3
240,81.0,0.306511,0,0,2017.0,VF3
241,81.0,0.311418,0,0,2017.0,VF3
242,81.0,0.31739,0,0,2017.0,VF3
243,81.0,0.317221,0,0,2017.0,VF3
244,81.0,0.316997,0,0,2017.0,VF3
245,81.0,0.311866,0,0,2017.0,VF3
246,81.0,0.311642,0,0,2017.0,VF3
247,81.0,0.312623,0,0,2017.0,VF3
248,81.0,0.312539,0,0,2017.0,VF3
249,81.0,0.304465,0,0,2017.0,VF3
250,81.0,0.304773,0,0,2017.0,VF3
251,81.0,0.307941,0,0,2017.0,VF3
252,81.0,0.312231,0,0,2017.0,VF3
253,81.0,0.31753,0,0,2017.0,VF3
254,81.0,0.316773,0,0,2017.0,VF3
255,81.0,0.311474,0,0,2017.0,VF3
256,81.0,0.309287,0,0,2017.0,VF3
257,81.0,0.311109,0,0,2017.0,VF3
258,81.0,0.315259,0,0,2017.0,VF3
259,81.0,0.316184,0,0,2017.0,VF3
260,81.0,0.316549,0,0,2017.0,VF3
261,81.0,0.317922,0,0,2017.0,VF3
262,81.0,0.31753,0,0,2017.0,VF3
263,81.0,0.315651,0,0,2017.0,VF3
264,81.0,0.315119,0,0,2017.0,VF3
265,81.0,0.314502,0,0,2017.0,VF3
266,81.0,0.312764,0,0,2017.0,VF3
267,81.0,0.31467,0,0,2017.0,VF3
268,81.0,0.320922,0,0,2017.0,VF3
269,81.0,0.326361,0,0,2017.0,VF3
270,81.0,0.333399,0,0,2017.0,VF3
271,81.0,0.34066,0,0,2017.0,VF3
272,81.0,0.34209,0,0,2017.0,VF3
273,81.0,0.34223,0,0,2017.0,VF3
274,81.0,0.345791,0,0,2017.0,VF3
275,81.0,0.346912,0,0,2017.0,VF3
276,81.0,0.351819,1,0,2017.0,VF3
277,81.0,0.355604,1,0,2017.0,VF3
278,81.0,0.360987,1,0,2017.0,VF3
279,81.0,0.36166,1,0,2017.0,VF3
280,81.0,0.358015,1,0,2017.0,VF3
281,81.0,0.359697,1,0,2017.0,VF3
282,81.0,0.358267,1,0,2017.0,VF3
283,81.0,0.363931,1,1,2017.0,VF3
284,81.0,0.369426,1,1,2017.0,VF3
285,81.0,0.373603,1,1,2017.0,VF3
286,81.0,0.379042,1,1,2017.0,VF3
287,81.0,0.392248,1,1,2017.0,VF3
288,81.0,0.398976,1,1,2017.0,VF3
289,81.0,0.397378,1,1,2017.0,VF3
290,81.0,0.390061,1,1,2017.0,VF3
291,81.0,0.392107,1,1,2017.0,VF3
292,81.0,0.399733,1,1,2017.0,VF3
293,81.0,0.404107,1,1,2017.0,VF3
294,81.0,0.403574,1,1,2017.0,VF3
295,81.0,0.401163,1,1,2017.0,VF3
296,81.0,0.395724,1,1,2017.0,VF3
297,81.0,0.385911,1,1,2017.0,VF3
298,81.0,0.36679,1,1,2017.0,VF3
299,81.0,0.343296,0,1,2018.0,VF3
300,81.0,0.331268,0,1,2018.0,VF3
301,81.0,0.327567,0,1,2018.0,VF3
302,81.0,0.328801,0,1,2018.0,VF3
303,81.0,0.328268,0,1,2018.0,VF3
304,81.0,0.327735,0,1,2018.0,VF3
305,81.0,0.327735,0,1,2018.0,VF3
306,81.0,0.330819,0,1,2018.0,VF3
307,81.0,0.332726,0,1,2018.0,VF3
308,81.0,0.335361,0,1,2018.0,VF3
309,81.0,0.339595,0,1,2018.0,VF3
310,81.0,0.343744,0,1,2018.0,VF3
311,81.0,0.350613,0,1,2018.0,VF3
312,81.0,0.359164,0,1,2018.0,VF3
313,81.0,0.373659,1,1,2018.0,VF3
314,81.0,0.394659,1,1,2018.0,VF3
315,81.0,0.42278,1,1,2018.0,VF3
316,81.0,0.436293,1,1,2018.0,VF3
317,81.0,0.441144,1,1,2018.0,VF3
318,81.0,0.437583,1,1,2018.0,VF3
319,81.0,0.433041,1,1,2018.0,VF3
320,81.0,0.418995,1,1,2018.0,VF3
321,81.0,0.392248,1,1,2018.0,VF3
322,81.0,0.361491,0,1,2019.0,VF3
323,81.0,0.353865,0,1,2019.0,VF3
324,81.0,0.355071,0,1,2019.0,VF3
325,81.0,0.357342,0,1,2019.0,VF3
326,81.0,0.359613,0,1,2019.0,VF3
327,81.0,0.358015,0,1,2019.0,VF3
328,81.0,0.354622,0,1,2019.0,VF3
329,81.0,0.356753,0,1,2019.0,VF3
330,81.0,0.364912,0,1,2019.0,VF3
331,81.0,0.36951,0,1,2019.0,VF3
332,81.0,0.379799,0,1,2019.0,VF3
333,81.0,0.398836,1,1,2019.0,VF3
334,81.0,0.429564,1,1,2019.0,VF3
335,81.0,0.448461,1,1,2019.0,VF3
336,81.0,0.448461,1,1,2019.0,VF3
337,81.0,0.455779,0,0,2020.0,VF3
338,81.0,0.438648,0,0,2020.0,VF3
339,81.0,0.414537,0,0,2020.0,VF3
340,81.0,0.38622,0,0,2020.0,VF3
341,81.0,0.35751,0,0,2020.0,VF3
342,81.0,0.307857,0,0,2020.0,VF3
343,81.0,0.251146,0,0,2021.0,VF3
344,81.0,0.197188,0,0,2021.0,VF3
345,81.0,0.149463,0,0,2021.0,VF3
346,81.0,0.107405,0,0,2021.0,VF3
347,81.0,0.083889,0,0,2021.0,VF3
348,81.0,0.064954,0,0,2021.0,VF3
349,81.0,0.04962,0,0,2021.0,VF3
350,81.0,0.042564,0,0,2021.0,VF3
351,81.0,0.041535,0,0,2021.0,VF3
352,81.0,0.042692,0,0,2021.0,VF3
353,81.0,0.045168,0,0,2021.0,VF3
354,81.0,0.045425,0,0,2021.0,VF3
355,81.0,0.0443,0,0,2021.0,VF3
356,81.0,0.041004,0,0,2021.0,VF3
357,81.0,0.039011,0,0,2021.0,VF3
358,81.0,0.037275,0,0,2021.0,VF3
359,81.0,0.035893,0,0,2021.0,VF3
360,81.0,0.03742,0,0,2021.0,VF3
361,81.0,0.038063,0,0,2021.0,VF3
362,81.0,0.038674,0,0,2021.0,VF3
363,81.0,0.040747,0,0,2021.0,VF3
364,81.0,0.042564,0,0,2021.0,VF3
365,81.0,0.04213,0,0,2021.0,VF3
366,81.0,0.041953,0,0,2021.0,VF3
367,81.0,0.041358,0,0,2021.0,VF3
368,81.0,0.041181,0,0,2021.0,VF3
369,81.0,0.039493,0,0,2021.0,VF3
370,81.0,0.038802,0,0,2021.0,VF3
371,81.0,0.037372,0,0,2021.0,VF3
372,163.0,0.312513,0,0,2016.0,VF3
373,163.0,0.306566,0,0,2016.0,VF3
374,163.0,0.29225,0,0,2016.0,VF3
375,163.0,0.293723,0,0,2016.0,VF3
